T001,Basic,Maruti Wagon R,28.61123,77.23163
T002,Basic,Maruti Wagon R,28.61123,77.23163
T003,Basic,Maruti Wagon R,28.61123,77.23163
T004,Basic,Maruti Wagon R,28.61123,77.23163
T005,Basic,Maruti Wagon R,28.61123,77.23163
T006,Basic,Maruti Wagon R,28.61123,77.23163
T007,Basic,Maruti Wagon R,28.61123,77.23163
T008,Basic,Maruti Wagon R,28.61123,77.23163
T009,Basic,Maruti Wagon R,28.61123,77.23163
T010,Basic,Maruti Wagon R,28.61123,77.23163
T011,Basic,Maruti Wagon R,28.61123,77.23163
T012,Basic,Maruti Wagon R,28.61123,77.23163
T013,Basic,Maruti Alto 800,28.61123,77.23163
T014,Basic,Maruti Alto 800,28.61123,77.23163
T015,Basic,Maruti Alto 800,28.61123,77.23163
T016,Basic,Maruti Alto 800,28.61123,77.23163
T017,Basic,Maruti Alto 800,28.61123,77.23163
T018,Basic,Maruti Alto 800,28.61123,77.23163
T019,Basic,Maruti Alto 800,28.61123,77.23163
T020,Basic,Maruti Alto 800,28.61123,77.23163
T021,Basic,Maruti Alto 800,28.61123,77.23163
T022,Basic,Maruti Alto 800,28.61123,77.23163
T023,Basic,Maruti Alto 800,28.61123,77.23163
T024,Basic,Maruti Alto 800,28.61123,77.23163
T025,Deluxe,Toyota Fortuner,28.61123,77.23163
T026,Deluxe,Toyota Fortuner,28.61123,77.23163
T027,Deluxe,Toyota Fortuner,28.61123,77.23163
T028,Deluxe,Toyota Fortuner,28.61123,77.23163
T029,Deluxe,Toyota Fortuner,28.61123,77.23163
T030,Deluxe,Toyota Fortuner,28.61123,77.23163
T031,Deluxe,Toyota Fortuner,28.61123,77.23163
T032,Deluxe,Tata Harrier,28.61123,77.23163
T033,Deluxe,Tata Harrier,28.61123,77.23163
T034,Deluxe,Tata Harrier,28.61123,77.23163
T035,Deluxe,Tata Harrier,28.61123,77.23163
T036,Deluxe,Tata Harrier,28.61123,77.23163
T037,Deluxe,Tata Harrier,28.61123,77.23163
T038,Deluxe,Tata Harrier,28.61123,77.23163
T039,Luxury,Audi A6,28.61123,77.23163
T040,Luxury,Audi A6,28.61123,77.23163
T041,Luxury,Audi A6,28.61123,77.23163
T042,Luxury,Audi A6,28.61123,77.23163
T043,Luxury,Audi A6,28.61123,77.23163
T044,Luxury,Audi A6,28.61123,77.23163
T045,Luxury,Audi A6,28.61123,77.23163
T046,Luxury,Audi A6,28.61123,77.23163
T047,Luxury,BMV X5,28.61123,77.23163
T048,Luxury,BMV X5,28.61123,77.23163
T049,Luxury,BMV X5,28.61123,77.23163
T050,Luxury,BMV X5,28.61123,77.23163
T051,Luxury,BMV X5,28.61123,77.23163
T052,Luxury,BMV X5,28.61123,77.23163
